date,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,daily_vaccinations_first_raw,daily_vaccinations_second_raw,korei_daily_vaccinations_raw,korei_daily_vaccinations_first_raw,korei_daily_vaccinations_second_raw,iryo_daily_vaccinations_raw,iryo_daily_vaccinations_first_raw,iryo_daily_vaccinations_second_raw
2021-07-06,52643860,41.623447,33507141,26.492788,19136719,15.130658,944478,7467,814899,423914,390985,715134,377323,337811,99765,46591,53174
2021-07-05,51828961,40.979137,33083227,26.157618,18745734,14.821521,994971,7866,970689,506096,464593,825600,442418,383182,145089,63678,81411
2021-07-04,50858272,40.21165,32577131,25.757467,18281141,14.454184,1024335,8099,900529,493603,406926,900529,493603,406926,0,0,0
2021-07-03,49957743,39.499638,32083528,25.367193,17874215,14.132445,1054755,8339,983167,516447,466720,983167,516447,466720,0,0,0
2021-07-02,48974576,38.722286,31567081,24.958858,17407495,13.763428,1072832,8482,844664,300551,544113,762840,274167,488673,81824,26384,55440
2021-07-01,48129912,38.054443,31266530,24.721226,16863382,13.333218,1129384,8929,942214,376569,565645,847417,339634,507783,94797,36935,57862
2021-06-30,47187698,37.30947,30889961,24.423487,16297737,12.885984,1168464,9238,1155187,550524,604663,1076008,518423,557585,79179,32101,47078
2021-06-29,46032511,36.39611,30339437,23.988209,15693074,12.407901,1179532,9326,1168347,545191,623156,1073866,505755,568111,94481,39436,55045
2021-06-28,44864164,35.472343,29794246,23.557148,15069918,11.915196,1183295,9355,1176239,562112,614127,1016584,483003,533581,159655,79109,80546
2021-06-27,43687925,34.542336,29232134,23.112707,14455791,11.42963,1187217,9386,1113473,629986,483487,1113473,629986,483487,0,0,0
2021-06-26,42574452,33.661957,28602148,22.614603,13972304,11.047356,1173191,9275,1109701,593188,516513,1109701,593188,516513,0,0,0
2021-06-25,41464751,32.78456,28008960,22.145592,13455791,10.638968,1157916,9155,1240533,615650,624883,1112178,562355,549823,128355,53295,75060
2021-06-24,40224218,31.803719,27393310,21.658821,12830908,10.144898,1139166,9006,1215773,602277,613496,1106352,556895,549457,109421,45382,64039
2021-06-23,39008445,30.842455,26791033,21.182623,12217412,9.659831,1132684,8955,1232661,624873,607788,1121175,573219,547956,111486,51654,59832
2021-06-22,37775784,29.867838,26166160,20.688562,11609624,9.179276,1122826,8877,1194691,617066,577625,1100556,570647,529909,94135,46419,47716
2021-06-21,36581093,28.923243,25549094,20.200672,11031999,8.722571,1112708,8797,1203691,634280,569411,1004911,559283,445628,198780,74997,123783
2021-06-20,35377402,27.971529,24914814,19.699171,10462588,8.27236,1102178,8714,1015287,600599,414688,1015287,600599,414688,0,0,0
2021-06-19,34362115,27.168785,24314215,19.224302,10047900,7.9444823,1081571,8551,1002781,598289,404492,1002781,598289,404492,0,0,0
2021-06-18,33359334,26.375923,23715926,18.751257,9643408,7.624666,1062908,8404,1109283,595426,513857,983335,543169,440166,125948,52257,73691
2021-06-17,32250051,25.498857,23120500,18.280478,9129551,7.2183795,1049562,8298,1170399,624523,545876,1041069,572986,468083,129330,51537,77793
2021-06-16,31079652,24.573467,22495977,17.78669,8583675,6.786777,1030719,8149,1163651,609617,554034,1044916,562923,481993,118735,46694,72041
2021-06-15,29916001,23.653414,21886360,17.304691,8029641,6.348724,1017491,8044,1123865,624577,499288,1008502,581162,427340,115363,43415,71948
2021-06-14,28792136,22.764818,21261783,16.810863,7530353,5.953956,1003684,7935,1129980,634991,494989,915015,543562,371453,214965,91429,123536
2021-06-13,27662156,21.871387,20626792,16.3088,7035364,5.5625877,988163,7813,871038,567368,303670,871038,567368,303670,0,0,0
2021-06-12,26791118,21.182692,20059424,15.860204,6731694,5.322488,966429,7641,872142,617388,254754,872142,617388,254754,0,0,0
2021-06-11,25918976,20.493122,19442036,15.372059,6476940,5.1210637,942148,7449,1015860,689338,326522,867877,632835,235042,147983,56503,91480
2021-06-10,24903116,19.689922,18752698,14.827026,6150418,4.8628955,920447,7277,1038498,687495,351003,901907,633526,268381,136591,53969,82622
2021-06-09,23864618,18.868822,18065203,14.283452,5799415,4.585371,898751,7106,1071057,715915,355142,903673,647174,256499,167384,68741,98643
